66743	63268	3	91.41
602	291	27	173.73
12	484	173	199.41
131	202	51	81.34
9135	14	12	20.76
127	1714	4	4.77
5427	2	3	3.96
10762	119	10	67.36
12919	7227	3	49.89
1333	222	6	26.29
28037	14	3	5.82
317	220	10	24.28
794	136	5	4.31
51850	3947	4	84.78
2031	13004	3	40.42
4028	113	11	41.06
65571	2923	3	61.39
291	4663	3	19.62
6202	142	4	19.5
101	6816	11	12.62
103	8002	4	4.59
12025	110	8	45.73
1111	4443	3	28
158	4763	4	19.32
1564	1396	6	52.65
1534	153	5	13.08
453	406	17	96.04
102	7247	7	10.92
36458	123	4	36.88
1949	121	12	35.89
106	28473	3	12.73
2625	14	60	110.45
103	5265	13	29.2
3645	12	17	16.37
7031	388	3	24.8
127	5899	13	80.28
1564	1709	4	33.5
9943	104	4	7.4
101	974	109	133.36
1146	110	8	4.72
513	7117	4	38.17
822	133	28	101.39
166	45771	3	33.34
284	1531	3	12
101	2824	27	23.38
5476	2	6	15.14
105	21211	5	22.36
1961	126	9	25.09
26873	12	3	7.97
6859	124	3	10.41
816	170	15	58.47
51035	2008	3	54.2
102	19095	5	17.1
7492	2951	3	38.49
106	12725	5	15.26
1123	16227	3	38.55
2192	8	7	10.7
130	34519	3	25.05
